문제ID,설계, 난이도,내용,보기1,보기2,보기3,보기4,보기답
DESIGN_VE_VE_001,설계,VERY EASY,"식 $5 - 2 \times (-3)$을 올바르게 계산한 결과는?","곱셈 기호를 확인하고 먼저 계산할 부분을 파악한다.","$2 \times (-3)$을 계산하여 $-6$을 구한다.","원래 식에 대입하여 $5 - (-6)$의 형태를 만든다.","뺄셈을 덧셈으로 바꾸어 최종 결과인 $11$을 구한다.",1-2-3-4
DESIGN_VE_VE_002,설계,VERY EASY,"자연수 $12$를 소인수분해 한 결과는?","주어진 수 $12$를 가장 작은 소수인 $2$로 나눈다.","몫인 $6$을 다시 소수 $2$로 나눈다.","마지막 몫이 소수 $3$이 됨을 확인한다.","나눈 소수들을 곱셈 기호로 연결하여 $2^2 \times 3$으로 나타낸다.",1-2-3-4
DESIGN_VE_VE_003,설계,VERY EASY,"일차방정식 $3x - 4 = 5$의 해는?","일차방정식에서 상수항 $-4$를 우변으로 이항한다.","이항한 우변의 식 $5 + 4$를 계산하여 $9$를 구한다.","방정식이 $3x = 9$의 형태가 됨을 확인한다.","양변을 $x$의 계수인 $3$으로 나누어 $x=3$을 구한다.",1-2-3-4
DESIGN_VE_VE_004,설계,VERY EASY,"$x=2$일 때 대수식 $4x - 5$의 값은?","주어진 식 $4x - 5$에서 변수 $x$의 위치를 파악한다.","변수 $x$ 대신에 주어진 값 $2$를 대입한다.","곱셈 기호를 살려 $4 \times 2 - 5$로 식을 다시 쓴다.","곱셈을 먼저 계산한 후 뺄셈을 하여 최종 값을 구한다.",1-2-3-4
DESIGN_VE_VE_005,설계,VERY EASY,"지수법칙을 이용하여 식 $x^2 \times x^3$을 간단히 하면?","밑이 같은 두 거듭제곱의 곱셈임을 확인한다.","지수법칙에 따라 곱셈은 지수의 덧셈으로 계산됨을 떠올린다.","지수 부분의 $2$와 $3$을 더하는 식을 세운다.","덧셈을 계산하여 최종적으로 $x^5$으로 간단히 한다.",1-2-3-4
DESIGN_VE_VE_006,설계,VERY EASY,"일차부등식 $2x > 6$의 해는?","부등식에서 미지수 $x$가 포함된 항과 상수항을 확인한다.","양변을 $x$의 계수인 $2$로 나눈다.","나누는 수 $2$가 양수이므로 부등호의 방향이 바뀌지 않음을 확인한다.","나눗셈을 계산하여 최종 해인 $x > 3$을 구한다.",1-2-3-4
DESIGN_VE_VE_007,설계,VERY EASY,"연립방정식 $y=2x$ 와 $x+y=6$ 의 해를 구하면?","두 방정식 중 첫 번째 식이 $y$에 관해 정리되어 있음을 확인한다.","두 번째 식의 $y$ 자리에 $2x$를 대입한다.","식을 $x + 2x = 6$으로 정리하여 $3x = 6$을 만든다.","양변을 $3$으로 나누어 $x=2$를 구하고 이를 대입해 $y=4$를 구한다.",1-2-3-4
DESIGN_VE_VE_008,설계,VERY EASY,"다항식 $(2x + 3) + (x - 1)$을 간단히 하면?","괄호를 풀고 식을 $2x + 3 + x - 1$로 나열한다.","문자가 같은 동류항 $2x$와 $x$를 모은다.","상수항인 $3$과 $-1$을 모은다.","동류항끼리 덧셈을 하여 $3x + 2$로 간단히 한다.",1-2-3-4
DESIGN_VE_009,설계,VERY EASY,"무리수의 덧셈 $\sqrt{16} + \sqrt{9}$를 계산한 값은?","첫 번째 무리수 안의 $16$이 $4$의 제곱임을 확인한다.","근호를 벗겨 $\sqrt{16}$을 $4$로 바꾼다.","두 번째 무리수 안의 $9$가 $3$의 제곱이므로 $3$으로 바꾼다.","유리수로 바뀐 두 수 $4$와 $3$을 더하여 $7$을 구한다.",1-2-3-4
DESIGN_VE_010,설계,VERY EASY,"다항식의 곱셈 $(x+1)(x+2)$를 전개하면?","다항식의 곱셈에서 분배법칙을 어떻게 적용할지 순서를 정한다.","$x$를 괄호 안의 $x$와 $2$에 각각 곱하여 $x^2+2x$를 얻는다.","$1$을 괄호 안의 $x$와 $2$에 각각 곱하여 $x+2$를 얻는다.","두 결과를 더하고 동류항을 정리하여 $x^2+3x+2$를 구한다.",1-2-3-4
DESIGN_VE_VE_011,설계,VERY EASY,"이차방정식 $x^2 - 4 = 0$의 해는?","주어진 이차방정식에서 상수항 $-4$를 우변으로 이항한다.","식이 $x^2 = 4$의 형태가 됨을 확인한다.","제곱해서 $4$가 되는 수는 양수와 음수 두 개가 있음을 떠올린다.","$4$의 제곱근을 구하여 $x = 2$ 또는 $x = -2$를 답으로 적는다.",1-2-3-4
DESIGN_VE_VE_012,설계,VERY EASY,"분수의 덧셈 $\frac{1}{2} + \frac{1}{3}$을 계산한 값은?","두 분수의 분모인 $2$와 $3$이 서로 다름을 확인한다.","두 분모 $2$와 $3$의 최소공배수인 $6$을 구한다.","두 분수가 분모 $6$을 가지도록 각각 $\frac{3}{6}$과 $\frac{2}{6}$으로 통분한다.","분모를 그대로 두고 분자끼리 더하여 $\frac{5}{6}$를 구한다.",1-2-3-4
DESIGN_VE_013,설계,VERY EASY,"절댓값이 포함된 식 $|-5| + 2$의 값은?","절댓값 기호 안의 수가 $-5$로 음수임을 확인한다.","음수의 절댓값은 부호를 떼어낸 양수가 되므로 $5$로 바꾼다.","식을 $5 + 2$의 덧셈식으로 다시 쓴다.","덧셈을 계산하여 최종 결과인 $7$을 구한다.",1-2-3-4
DESIGN_VE_014,설계,VERY EASY,"순환소수 $0.\dot{3}$을 기약분수로 나타내면?","순환마디를 이루는 숫자의 개수를 센다.","순환마디 숫자 개수만큼 분모에 $9$를 적는다.","순환마디의 숫자를 분자에 적어 $\frac{3}{9}$을 만든다.","분모와 분자를 최대공약수인 $3$으로 약분하여 $\frac{1}{3}$을 구한다.",1-2-3-4
DESIGN_VE_015,설계,VERY EASY,"지수법칙을 이용하여 $(x^2)^3$을 간단히 하면?","괄호 안의 거듭제곱 전체가 다시 거듭제곱 된 형태임을 파악한다.","거듭제곱의 거듭제곱은 두 지수를 곱해야 함을 떠올린다.","지수인 $2$와 $3$을 서로 곱하는 식을 세운다.","곱셈을 계산하여 $x^6$으로 간단히 나타낸다.",1-2-3-4
DESIGN_VE_016,설계,VERY EASY,"분수의 나눗셈 $\frac{2}{3} \div \frac{1}{5}$을 계산한 결과는?","나눗셈 기호를 곱셈 기호로 바꾸어야 함을 확인한다.","나누는 수인 $\frac{1}{5}$의 분모와 분자 위치를 바꾼 역수 $5$를 구한다.","원래 식을 $\frac{2}{3} \times 5$의 곱셈식으로 바꾼다.","분자 $2$와 $5$를 곱하여 최종 결과인 $\frac{10}{3}$을 구한다.",1-2-3-4
DESIGN_VE_017,설계,VERY EASY,"다항식 $2x^2 + 4x$를 공통인수를 이용하여 인수분해하면?","주어진 다항식의 각 항인 $2x^2$과 $4x$를 살핀다.","두 항의 계수인 $2$와 $4$의 최대공약수 $2$를 찾는다.","두 항에 공통으로 들어있는 문자 $x$를 찾는다.","공통인수 $2x$로 묶어내어 $2x(x + 2)$로 인수분해한다.",1-2-3-4
DESIGN_VE_018,설계,VERY EASY,"일차방정식 $2(x - 1) = 6$의 해는?","방정식 좌변의 괄호를 풀기 위해 분배법칙을 적용한다.","$2$를 $x$와 $-1$에 각각 곱하여 $2x - 2 = 6$을 만든다.","상수항 $-2$를 우변으로 이항하여 $2x = 8$을 만든다.","양변을 $2$로 나누어 해인 $x = 4$를 구한다.",1-2-3-4
DESIGN_VE_019,설계,VERY EASY,"단항식의 곱셈 $3a \times 2b$를 간단히 하면?","주어진 두 단항식의 곱셈에서 계수와 문자를 구분한다.","계수인 $3$과 $2$를 따로 묶어서 곱한다.","문자인 $a$와 $b$를 따로 묶어서 곱한다.","계수의 곱인 $6$과 문자의 곱인 $ab$를 합쳐 $6ab$로 나타낸다.",1-2-3-4
DESIGN_VE_020,설계,VERY EASY,"이차함수 $y = x^2 + 2x$에서 $x=1$일 때의 함숫값은?","주어진 이차함수 식에서 $x$가 들어갈 자리를 확인한다.","모든 $x$의 자리에 주어진 값인 $1$을 대입한다.","대입한 식 $y = 1^2 + 2 \times 1$을 세운다.","거듭제곱과 곱셈을 먼저 계산한 뒤 더하여 $y=3$을 구한다.",1-2-3-4
DESIGN_VE_021,설계,VERY EASY,"$-4$와 그 수의 절댓값이 같고 부호가 반대인 수의 합은?","주어진 수 $-4$를 확인한다.","$-4$와 부호가 반대이고 절댓값이 같은 수인 $+4$를 찾는다.","두 수의 덧셈 식인 $-4 + 4$를 세운다.","부호가 다르고 절댓값이 같은 두 수의 합은 $0$이 됨을 확인한다.",1-2-3-4
DESIGN_VE_022,설계,VERY EASY,"$a < b$일 때 $a+3$과 $b+3$의 대소 관계는?","주어진 조건인 부등식 $a < b$를 확인한다.","부등식의 양변에 같은 수 $3$이 더해졌음을 파악한다.","부등식의 양변에 같은 수를 더해도 부등호의 방향은 바뀌지 않음을 떠올린다.","기존 부등호 방향을 그대로 유지하여 $a+3 < b+3$임을 결론 내린다.",1-2-3-4
DESIGN_VE_023,설계,VERY EASY,"합차공식을 이용하여 $(x+3)(x-3)$을 전개하면?","두 일차식의 덧셈과 뺄셈 기호만 다르고 형태가 같음을 확인한다.","합차공식인 $(a+b)(a-b) = a^2 - b^2$을 적용해야 함을 떠올린다.","공식에 따라 앞의 항 $x$를 제곱하여 $x^2$을 만든다.","뒤의 항 $3$을 제곱한 $9$를 뺀 형태인 $x^2 - 9$를 적는다.",1-2-3-4
DESIGN_VE_024,설계,VERY EASY,"두 수 $4$와 $6$의 최소공배수는?","주어진 두 수 $4$와 $6$을 $2$로 나눌 수 있는지 확인한다.","두 수를 $2$로 나누어 각각 몫인 $2$와 $3$을 구한다.","더 이상 공통인 소수로 나눌 수 없음을 확인한다.","나눈 소수 $2$와 남은 몫 $2$, $3$을 모두 곱하여 최소공배수 $12$를 구한다.",1-2-3-4
DESIGN_VE_025,설계,VERY EASY,"제곱근의 곱셈 $\sqrt{2} \times \sqrt{8}$을 간단히 하면?","두 무리수가 곱셈 기호로 연결되어 있음을 확인한다.","근호 안의 양수끼리 먼저 곱할 수 있다는 성질을 떠올린다.","큰 근호 하나를 그리고 그 안에서 $2$와 $8$을 곱하여 $\sqrt{16}$을 만든다.","$16$은 $4$의 제곱이므로 근호를 벗겨내어 $4$로 간단히 한다.",1-2-3-4
DESIGN_E_001,설계,EASY,"일차방정식 $3(x - 2) = 2x + 5$의 해는?","분배법칙을 이용하여 좌변의 괄호를 풀어 $3x - 6 = 2x + 5$로 만든다.","$x$가 포함된 항은 좌변으로, 상수항은 우변으로 이항한다.","양변의 동류항을 각각 계산하여 $x = 11$로 정리한다.","계산된 $x$의 값을 최종 해로 확정한다.",1-2-3-4
DESIGN_E_002,설계,EASY,"연립방정식 $2x + y = 7$, $x - y = 2$의 해를 구하면?","두 일차방정식에서 $y$의 계수의 절댓값이 같고 부호가 반대임을 확인한다.","두 방정식을 변끼리 더하여 $y$를 소거하는 식 $3x = 9$를 세운다.","양변을 $3$으로 나누어 $x$의 값인 $3$을 구한다.","구한 $x=3$을 원래 방정식에 대입하여 $y$의 값인 $1$을 구한다.",1-2-3-4
DESIGN_E_003,설계,EASY,"이차식 $x^2 + 5x + 6$을 올바르게 인수분해한 것은?","이차항의 계수가 $1$인 식의 형태임을 파악한다.","곱하여 상수항인 $6$이 나오는 두 정수의 조합들을 모두 찾는다.","찾은 조합들 중 합하여 $x$의 계수인 $5$가 되는 두 수 $2$와 $3$을 고른다.","선택한 두 수를 이용하여 $(x+2)(x+3)$으로 인수분해한다.",1-2-3-4
DESIGN_E_004,설계,EASY,"이차방정식 $x^2 - 3x - 10 = 0$의 해는?","주어진 이차방정식의 좌변을 인수분해하기 위해 합해서 $-3$, 곱해서 $-10$이 되는 두 수를 찾는다.","찾은 두 수 $2$와 $-5$를 이용하여 좌변을 $(x+2)(x-5)$로 인수분해한다.","$AB=0$이면 $A=0$ 또는 $B=0$이라는 이차방정식 풀이의 기본 성질을 떠올린다.","$x+2=0$ 또는 $x-5=0$을 풀어 해인 $x=-2$ 또는 $x=5$를 구한다.",1-2-3-4
DESIGN_E_005,설계,EASY,"지수법칙을 이용하여 $(2x^2 y)^3$을 간단히 한 결과는?","괄호 안의 단항식 전체가 세제곱으로 묶여 있음을 파악한다.","지수법칙을 적용하여 상수인 $2$를 세제곱하여 $8$을 구한다.","문자의 지수법칙을 적용하여 $x^2$의 세제곱인 $x^6$과 $y$의 세제곱인 $y^3$을 각각 구한다.","상수와 문자의 계산 결과를 모두 곱하여 $8x^6y^3$으로 묶어서 정리한다.",1-2-3-4
DESIGN_E_006,설계,EASY,"$x=3, y=-1$일 때, 식 $2x^2 - 3y$의 값은?","주어진 다항식에서 변수 $x$와 $y$의 위치를 정확히 파악한다.","$x$ 자리에 $3$을, $y$ 자리에 $-1$을 각각 대입하여 $2 \times 3^2 - 3 \times (-1)$의 식을 세운다.","거듭제곱인 $3^2$을 먼저 계산하여 $9$를 구하고, 이를 이용해 곱셈 부분을 계산한다.","앞의 곱셈 결과 $18$과 뒤의 곱셈 결과 $-3$을 빼서 최종 값인 $21$을 구한다.",1-2-3-4
DESIGN_E_07,설계,EASY,"무리수의 덧셈 $\sqrt{12} + \sqrt{27}$을 간단히 하면?","각 근호 안의 수를 소인수분해하여 밖으로 꺼낼 수 있는 제곱수를 찾는다.","제곱수를 근호 밖으로 꺼내어 식을 $2\sqrt{3} + 3\sqrt{3}$으로 변환한다.","두 무리수가 근호 안의 수가 같은 동류항 형태임을 확인한다.","근호 밖의 유리수 부분인 $2$와 $3$을 더하여 최종 결과인 $5\sqrt{3}$을 구한다.",1-2-3-4
DESIGN_E_008,설계,EASY,"일차부등식 $-2x + 4 < 10$의 해는?","부등식에서 상수항 $4$를 우변으로 이항하고 동류항을 계산하여 $-2x < 6$을 만든다.","$x$의 계수가 $-2$이므로 양변을 음수인 $-2$로 나누어야 함을 확인한다.","음수로 부등식의 양변을 나누면 부등호의 방향이 반대로 바뀌어야 함을 떠올린다.","부등호 방향을 바꾸고 나눗셈을 계산하여 해인 $x > -3$을 구한다.",1-2-3-4
